通しNo,目録データファイル名,目録データプロパティ,パス,説明,サンプルデータ,クラスマッピングNo.,MADBマッピング（クラス）,MADBマッピング（原データ：プロパティ名）,加工仕様,加工後サンプルデータ,注記,入力日,入力者,更新日
12,rcgs_package_sparql_2022.csv,titleTranscription_jaLatn,-,リソースのタイトルのローマ字による翻字形,Donkikongu,2,ゲームパッケージ,タイトル（ローマ字）,,,,,福田,
14,rcgs_package_sparql_2022.csv,accessRights,-,リソースのアクセス制限,一般,2,ゲームパッケージ,アクセス制限,,,,,福田,
15,rcgs_package_sparql_2022.csv,description,-,リソースの説明や注記とその他の属性で記録されない識別的特徴,後夜祭スペシャルプレビューディスク『前夜祭』同伴,2,ゲームパッケージ,概要,,,,,福田,
16,rcgs_package_sparql_2022.csv,format_carrierType,-,メインユニットのメディアの一般形の種別,http://rdaregistry.info/termList/RDACarrierType/1012,2,ゲームパッケージ,メインユニット形式-キャリア種別,,,統制語彙対応済,,福田,
17,rcgs_package_sparql_2022.csv,format_extent,-,メインユニットのメディアの数量,1 computer chip cartridge,2,ゲームパッケージ,メインユニット形式-数量,,,,,福田,
18,rcgs_package_sparql_2022.csv,format_encodingFormat,-,メインユニットのメディア形式,https://collection.rcgs.jp/resource/MEDIAFORMAT0000026,2,ゲームパッケージ,メインユニット形式-メディアフォーマット,,,統制語彙対応済,,福田,
19,rcgs_package_sparql_2022.csv,format_dimension,-,メインユニットの大きさの測定値,10.9 * 7 * 1.7 cm,2,ゲームパッケージ,メインユニット形式-大きさ,,,,,福田,
20,rcgs_package_sparql_2022.csv,format_fileSize,-,メインユニットのファイルサイズ,,2,ゲームパッケージ,メインユニット形式-ファイルサイズ,,,,,福田,
21,rcgs_package_sparql_2022.csv,hasPart,-,リソースの論理的・物理的に部分として持つリソース,,2,ゲームパッケージ,関連（hasPart）,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
22,rcgs_package_sparql_2022.csv,identifier,-,同じもしくは関連するリソースを示す外部の典拠の識別子,,2,ゲームパッケージ,外部ID,,,,,福田,
23,rcgs_package_sparql_2022.csv,isPartOf,-,リソースの論理的・物理的な部分であるリソース,https://collection.rcgs.jp/resource/DEVICE0000626,2,ゲームパッケージ,関連（isPartOf）,該当するリソースのIDに変換（メモより同定可能）,,,,福田,
24,rcgs_package_sparql_2022.csv,issued,-,リソースが公開された日付,1983-07-15,2,ゲームパッケージ,公開年月日,,,,,福田,
